;
;Data for the cheat routine of Mame
;This file should be in the same directory of MAME.EXE .
;
;This file can be edited with a text editor, but keep the same format:
; all fields are separated by a colon (:)
;  -Name of the game (short name)
;  -No of the CPU
;  -Address in Hexadecimal
;  -Data to put at this address in hexadecimal
;  -Special (see Docs) usually 0
;  -Description of the cheat (30 caracters max)
;
1942:0:E101:6:0:Infinite Lives
1942:0:E09B:6:0:Infinite R
1942:0:E0A5:2:0:Invincibility
1942:0:E164:80:0:Power Up Fire
1943:0:F206:40:0:Invincibility PL1
1943:0:F286:40:0:Invincibility PL2
amidar:0:8288:6:0:Infinite Lives
amidar:0:8285:6:0:Infinite Jump
amidar:0:81F5:FF:0:Invincibility
amidarjp:0:8288:6:0:Infinite Lives
amidarjp:0:8285:6:0:Infinite Jump
amidarjp:0:81F5:FF:0:Invincibility
amigo:0:8288:6:0:Infinite Lives
amigo:0:8285:6:0:Infinite Jump
amigo:0:81F5:FF:0:Invincibility
anteater:0:8665:3:0:Infinite Lives
arabian:0:D406:5:0:Infinite Lives PL1
arabian:0:D407:5:0:Infinite Lives PL2
astdelux:0:006F:6:0:Infinite Lives PL1
astdelux:0:0070:6:0:Infinite Lives PL2
astdelux:0:02EF:FF:0:Infinite Shield
asteroid:0:0056:5:0:Infinite Lives
asteroi2:0:0057:5:0:Infinite Lives
atlantis:0:4022:6:0:Infinite Lives
bagman:0:6056:5:0:Infinite Lives
bagman:0:61E8:99:0:Bonus always 99
bagman:0:61CF:1:0:Carry a pic
bankp:0:E0A0:6:0:Infinite Lives
berzerk:0:4349:6:0:Infinite Lives
blaster:0:BD26:6:0:Infinite Lives
blaster:0:973E:3:0:Invincibility
blktiger:0:F3A0:9:0:Infinite lives
blueprnt:0:80E1:4:0:Infinite Lives
boblbobl:0:E645:6:0:Infinite Lives
bombjack:0:819B:5:0:Infinite Lives
bosco:0:83E2:5:0:Infinite Lives
bosconm:0:83E2:5:0:Infinite Lives
btime:0:0029:5:0:Infinite Lives
btime:0:002B:56:0:Infinite Pepper
btimea:0:0029:5:0:Infinite Lives
btimea:0:002B:56:0:Infinite Pepper
bublbobl:0:E645:6:0:Infinite Lives
bwidow:0:0440:6:0:Infinite Lives
bzone:0:00CC:6:0:Infinite Lives
bzone2:0:00CC:6:0:Infinite Lives
carnival:0:E590:44:0:Infinite Ammo
cavenger:0:60E7:6:0:Infinite lives PL1
cavenger:0:6216:6:0:Infinite lives PL1
ccastles:0:840A:8:0:Infinite lives
ccastles:0:862E:FF:0:Invincibility
ccboot:0:80D8:6:0:Infinite Lives
ccjap:0:80D8:6:0:Infinite Lives
cclimber:0:80D8:6:0:Infinite Lives
centiped:0:00A5:6:0:Infinite Lives
ckong:0:6228:6:0:Infinite Lives
ckonga:0:6228:6:0:Infinite Lives
ckongjeu:0:6228:6:0:Infinite Lives
ckongs:0:6228:6:0:Infinite lives
cloak:0:027D:5:0:Infinite Lives
commandj:0:EDA0:6:0:Infinite Lives
commandj:0:D1E0:9:0:Infinite Grenades
commando:0:EDA0:6:0:Infinite Lives
commando:0:D1E0:9:0:Infinite Grenades
congo:0:8220:6:0:Infinite Lives
crush:0:4C1C:6:0:Infinite Lives
defender:0:A1C9:5:0:Infinite Lives
defender:0:A1CB:5:0:Infinite Smart Bomb
defender:0:A0FA:A:0:Never go into space
desterth:0:21AC:6:0:Infinite lives PL1
desterth:0:22AC:6:0:Infinite lives PL2
diamond:0:049C:6:0:Infinite lives
digdugat:0:840A:6:0:Infinite Lives
digdugnm:0:840A:6:0:Infinite Lives
digdug2:0:1703:6:0:Infinite Lives
dkjrbl:0:6228:6:0:Infinite Lives
dkjrjp:0:6228:6:0:Infinite Lives
dkongjr:0:6228:6:0:Infinite Lives
dkongjp:0:6228:6:0:Infinite Lives
dkong:0:6228:6:0:Infinite Lives
